Java HotSpot(TM) 64-Bit Server VM (25.371-b11) for windows-amd64 JRE (1.8.0_371-b11), built on Mar 17 2023 04:03:45 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 24794848k(13024916k free), swap 26367712k(9818600k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=heap/heapdump3.hprof -XX:InitialHeapSize=83886080 -XX:+ManagementServer -XX:MaxHeapSize=83886080 -XX:MetaspaceSize=67108864 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:ThreadStackSize=512 -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2023-05-07T18:52:03.579+0800: 4.736: [GC (Allocation Failure) [PSYoungGen: 22016K->2544K(24576K)] 22016K->4696K(79360K), 0.0031930 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2023-05-07T18:52:32.566+0800: 33.723: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48383K->48383K(54784K)] 70399K->70399K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4666541 secs] [Times: user=3.50 sys=0.00, real=0.47 secs] 
2023-05-07T18:52:33.033+0800: 34.190: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48385K->48385K(54784K)] 70401K->70401K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4969115 secs] [Times: user=3.86 sys=0.00, real=0.50 secs] 
2023-05-07T18:52:33.530+0800: 34.688: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48387K->48387K(54784K)] 70403K->70403K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4870862 secs] [Times: user=3.69 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:34.019+0800: 35.176: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48389K->48389K(54784K)] 70405K->70405K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4335118 secs] [Times: user=3.00 sys=0.00, real=0.43 secs] 
2023-05-07T18:52:34.453+0800: 35.610: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48391K->48391K(54784K)] 70407K->70407K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4284648 secs] [Times: user=3.19 sys=0.00, real=0.43 secs] 
2023-05-07T18:52:34.882+0800: 36.039: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48393K->48393K(54784K)] 70409K->70409K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4564763 secs] [Times: user=3.48 sys=0.01, real=0.45 secs] 
2023-05-07T18:52:35.339+0800: 36.495: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48395K->48377K(54784K)] 70411K->70393K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.5160391 secs] [Times: user=3.81 sys=0.02, real=0.52 secs] 
2023-05-07T18:52:35.855+0800: 37.012: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48379K->48379K(54784K)] 70395K->70395K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4944380 secs] [Times: user=3.50 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:36.352+0800: 37.509: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48381K->48381K(54784K)] 70397K->70397K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4908770 secs] [Times: user=3.56 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:36.843+0800: 38.000: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48383K->48383K(54784K)] 70399K->70399K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4948119 secs] [Times: user=3.92 sys=0.00, real=0.50 secs] 
2023-05-07T18:52:37.338+0800: 38.495: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48385K->48385K(54784K)] 70401K->70401K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4897833 secs] [Times: user=3.92 sys=0.03, real=0.49 secs] 
2023-05-07T18:52:37.828+0800: 38.985: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48387K->48387K(54784K)] 70403K->70403K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4913729 secs] [Times: user=3.61 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:38.320+0800: 39.477: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48389K->48389K(54784K)] 70405K->70405K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4898146 secs] [Times: user=3.77 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:38.810+0800: 39.967: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48391K->48390K(54784K)] 70407K->70406K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4917920 secs] [Times: user=3.91 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:39.302+0800: 40.459: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48392K->48392K(54784K)] 70408K->70408K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4965514 secs] [Times: user=3.70 sys=0.00, real=0.50 secs] 
2023-05-07T18:52:39.799+0800: 40.956: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48394K->48394K(54784K)] 70410K->70410K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4968455 secs] [Times: user=3.94 sys=0.02, real=0.50 secs] 
2023-05-07T18:52:40.296+0800: 41.453: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48396K->48396K(54784K)] 70412K->70412K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4901586 secs] [Times: user=3.53 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:40.786+0800: 41.944: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48398K->48398K(54784K)] 70414K->70414K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4875413 secs] [Times: user=3.81 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:41.275+0800: 42.431: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48400K->48400K(54784K)] 70416K->70416K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4652743 secs] [Times: user=3.31 sys=0.00, real=0.46 secs] 
2023-05-07T18:52:41.740+0800: 42.897: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48402K->48402K(54784K)] 70418K->70418K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4338258 secs] [Times: user=3.28 sys=0.00, real=0.43 secs] 
2023-05-07T18:52:42.173+0800: 43.331: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48404K->48404K(54784K)] 70420K->70420K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4332570 secs] [Times: user=3.03 sys=0.02, real=0.43 secs] 
2023-05-07T18:52:42.607+0800: 43.765: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48406K->48406K(54784K)] 70422K->70422K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4730173 secs] [Times: user=3.72 sys=0.00, real=0.47 secs] 
2023-05-07T18:52:43.080+0800: 44.238: [Full GC (Ergonomics) [PSYoungGen: 22015K->22015K(24576K)] [ParOldGen: 48408K->48408K(54784K)] 70424K->70424K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4955284 secs] [Times: user=3.69 sys=0.00, real=0.50 secs] 
2023-05-07T18:52:43.576+0800: 44.734: [Full GC (Ergonomics) [PSYoungGen: 22016K->22015K(24576K)] [ParOldGen: 48408K->48408K(54784K)] 70424K->70424K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4908592 secs] [Times: user=3.95 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:44.068+0800: 45.225: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48410K->48410K(54784K)] 70426K->70426K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4956523 secs] [Times: user=3.66 sys=0.00, real=0.50 secs] 
2023-05-07T18:52:44.564+0800: 45.721: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48412K->48412K(54784K)] 70428K->70428K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4802220 secs] [Times: user=3.55 sys=0.01, real=0.48 secs] 
2023-05-07T18:52:45.045+0800: 46.201: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48414K->48414K(54784K)] 70430K->70430K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4917972 secs] [Times: user=3.73 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:45.536+0800: 46.693: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48416K->48416K(54784K)] 70432K->70432K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4914226 secs] [Times: user=3.73 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:46.028+0800: 47.185: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48418K->48418K(54784K)] 70434K->70434K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.5005320 secs] [Times: user=4.19 sys=0.02, real=0.50 secs] 
2023-05-07T18:52:46.529+0800: 47.686: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48420K->48420K(54784K)] 70436K->70436K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4943797 secs] [Times: user=4.14 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:47.024+0800: 48.181: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48422K->48422K(54784K)] 70438K->70438K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4896175 secs] [Times: user=3.72 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:47.513+0800: 48.671: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48423K->48423K(54784K)] 70439K->70439K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4954802 secs] [Times: user=3.89 sys=0.00, real=0.50 secs] 
2023-05-07T18:52:48.009+0800: 49.166: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48425K->48425K(54784K)] 70441K->70441K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4875911 secs] [Times: user=3.91 sys=0.01, real=0.49 secs] 
2023-05-07T18:52:48.497+0800: 49.654: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48427K->48427K(54784K)] 70443K->70443K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4882027 secs] [Times: user=3.86 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:48.986+0800: 50.143: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48429K->48429K(54784K)] 70445K->70445K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4895780 secs] [Times: user=4.00 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:49.476+0800: 50.633: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48431K->48431K(54784K)] 70447K->70447K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4893836 secs] [Times: user=3.67 sys=0.02, real=0.49 secs] 
2023-05-07T18:52:49.966+0800: 51.123: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48433K->48433K(54784K)] 70449K->70449K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4869059 secs] [Times: user=3.95 sys=0.02, real=0.49 secs] 
2023-05-07T18:52:50.453+0800: 51.610: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48435K->48435K(54784K)] 70451K->70451K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4993441 secs] [Times: user=4.09 sys=0.00, real=0.50 secs] 
2023-05-07T18:52:50.955+0800: 52.112: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48437K->48437K(54784K)] 70453K->70453K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4918628 secs] [Times: user=3.86 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:51.446+0800: 52.604: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48439K->48439K(54784K)] 70455K->70455K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4940251 secs] [Times: user=3.81 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:51.941+0800: 53.098: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48441K->48441K(54784K)] 70457K->70457K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4971570 secs] [Times: user=4.12 sys=0.00, real=0.50 secs] 
2023-05-07T18:52:52.439+0800: 53.596: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48443K->48442K(54784K)] 70459K->70458K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.5025247 secs] [Times: user=4.11 sys=0.00, real=0.50 secs] 
2023-05-07T18:52:52.942+0800: 54.099: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48444K->48444K(54784K)] 70460K->70460K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4934366 secs] [Times: user=3.78 sys=0.02, real=0.49 secs] 
2023-05-07T18:52:53.436+0800: 54.592: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48446K->48446K(54784K)] 70462K->70462K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4920869 secs] [Times: user=3.69 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:53.928+0800: 55.085: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48448K->48448K(54784K)] 70464K->70464K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4936168 secs] [Times: user=3.89 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:54.421+0800: 55.579: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48450K->48450K(54784K)] 70466K->70466K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4916969 secs] [Times: user=3.86 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:54.913+0800: 56.071: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48452K->48451K(54784K)] 70468K->70467K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4972669 secs] [Times: user=4.05 sys=0.00, real=0.50 secs] 
2023-05-07T18:52:55.411+0800: 56.568: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48453K->48453K(54784K)] 70469K->70469K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4894424 secs] [Times: user=4.05 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:55.901+0800: 57.058: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48455K->48455K(54784K)] 70471K->70471K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4940620 secs] [Times: user=3.86 sys=0.00, real=0.49 secs] 
2023-05-07T18:52:56.395+0800: 57.552: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48457K->48457K(54784K)] 70473K->70473K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4982781 secs] [Times: user=3.81 sys=0.00, real=0.50 secs] 
2023-05-07T18:52:56.894+0800: 58.051: [Full GC (Ergonomics) [PSYoungGen: 22016K->22016K(24576K)] [ParOldGen: 48459K->48459K(54784K)] 70475K->70475K(79360K), [Metaspace: 35610K->35610K(1083392K)], 0.4916908 secs] [Times: user=3.61 sys=0.00, real=0.49 secs] 
